Key,Context / Comment,Status,en,zh-Hans,zh-Hant,ja,ko,fr,es,it,pt-PT,nl,de,en-GB,el,th,vi,ms,id,hr
%d dives,Export dive count,✅ Active,%d dives,%d 次潜水,%d 次潛水,%d 回のダイビング,%d 다이빙,%d plongées,%d inmersiones,%d immersioni,%d mergulhos,%d duiken,%d Tauchgänge,%d dives,%d καταδύσεις,%d ไดฟ์,%d lần lặn,%d selam,%d penyelaman,%d urona
%lld dive%@ imported,Import success count,✅ Active,%1$lld dive%2$@ imported,已导入 %1$lld 次潜水%2$@,已匯入 %1$lld 次潛水%2$@,%1$lld 回のダイビング%2$@を読み込みました,%1$lld개의 다이빙%2$@ 가져옴,%1$lld plongée%2$@ importée,%1$lld inmersión%2$@ importada,%1$lld immersione%2$@ importata,%1$lld mergulho%2$@ importado,%1$lld duik%2$@ geïmporteerd,%1$lld Tauchgang%2$@ importiert,%1$lld dive%2$@ imported,Εισηγμένη καταγραφή %1$lld %2$@,นำเข้า %1$lld ไดฟ์%2$@ แล้ว,Đã nhập %1$lld lần lặn%2$@,%1$lld selam%2$@ diimport,%1$lld penyelaman%2$@ diimport,Uvezeno %1$lld urona%2$@
%lld min,Duration in minutes,✅ Active,%lld min,%lld 分钟,%lld 分鐘,%lld 分,%lld분,%lld min,%lld min,%lld min,%lld min,%lld min,%lld min,%lld min,%lld λεπ,%lld นาที,%lld phút,%lld min,%lld menit,%lld min
%lld skipped (duplicates),Skip count,✅ Active,%lld skipped (duplicates),已跳过 %lld 笔（重复）,已跳過 %lld 筆（重複）,%lld 件スキップ（重複）,%lld개 건너뜀 (중복),%lld ignorée(s) (doublon),%lld omitida(s) (duplicada),%lld ignorata(e) (duplicato),%lld ignorado (duplicado),%lld overgeslagen (duplicaten),%lld übersprungen (Duplikate),%lld skipped (duplicates),%lld παραλείφθηκαν (διπλότυπα),ข้าม %lld ไดฟ์ (ซ้ำ),Đã bỏ qua %lld (trùng lặp),%lld dilangkau (pendua),%lld dilewati (duplikat),%lld preskočeno (duplikati)
Buy Premium for %@,Purchase button a11y,✅ Active,Buy Premium for %@,以 %@ 购买专业版,以 %@ 購買進階版,%@でプレミアムを購入,%@으로 프리미엄 구매,Acheter Premium pour %@,Comprar Premium por %@,Acquista Premium per %@,Comprar Premium por %@,Koop Premium voor %@,Premium kaufen für %@,Buy Premium for %@,Αγορά Premium για %@,ซื้อพรีเมียมในราคา %@,Mua Premium với giá %@,Beli Premium untuk %@,Beli Premium seharga %@,Kupi Premium za %@
Duration: %d minutes,a11y label,✅ Active,Duration: %d minutes,时长：%d 分钟,時長：%d 分鐘,時間：%d 分,지속 시간: %d분,Durée : %d minutes,Duración: %d minutos,Durata: %d minuti,Duração: %d minutos,Duur: %d minuten,Dauer: %d Minuten,Duration: %d minutes,Διάρκεια: %d λεπτά,ระยะเวลา: %d นาที,Thời gian lặn: %d phút,Tempoh: %d minit,Durasi: %d menit,Trajanje: %d minuta
Export all %d dives,Export all button,✅ Active,Export all %d dives,导出所有 %d 笔潜水记录,匯出所有 %d 筆潛水記錄,%d 件のダイビングをすべて書き出す,모든 %d개 다이빙 내보내기,Exporter les %d plongées,Exportar las %d inmersiones,Esporta tutte le %d immersioni,Exportar todos os %d mergulhos,Exporteer alle %d duiken,Alle %d Tauchgänge exportieren,Export all %d dives,Εξαγωγή όλων των %d καταδύσεων,ส่งออกทั้ง %d ไดฟ์,Xuất tất cả %d lần lặn,Eksport semua %d selam,Ekspor semua %d penyelaman,Izvezi svih %d urona
Max Depth: %.1f metres,a11y label,✅ Active,Max Depth: %.1f metres,最大深度：%.1f 米,最大深度：%.1f 公尺,最大水深：%.1f m,최대 깊이: %.1f미터,Profondeur max : %.1f mètres,Profundidad máx.: %.1f metros,Profondità max: %.1f metri,Profundidade máx.: %.1f metros,Max. diepte: %.1f meter,Maximale Tiefe: %.1f Meter,Max Depth: %.1f metres,Μέγιστο βάθος: %.1f μέτρα,ความลึกสูงสุด: %.1f เมตร,Độ sâu tối đa: %.1f mét,Kedalaman Maks: %.1f meter,Kedalaman Maksimum: %.1f meter,Maks. dubina: %.1f metara
Nitrox O2: %d percent,a11y label,✅ Active,Nitrox O2: %d percent,富氧空气 O₂：%d%%,富氧空氣 O₂：%d%%,ナイトロックス O₂：%dパーセント,나이트록스 O₂: %d퍼센트,Nitrox O₂ : %d pour cent,Nitrox O₂: %d por ciento,Nitrox O₂: %d percento,Nitrox O₂: %d por cento,Nitrox O₂: %d procent,Nitrox O₂: %d Prozent,Nitrox O₂: %d percent,Nitrox O₂: %d τοις εκατό,ไนตรอกซ์ O₂: %d เปอร์เซ็นต์,Nitrox O₂: %d phần trăm,Nitrox O₂: %d peratus,Nitrox O₂: %d persen,Nitrox O₂: %d posto
Unlock for %@,Purchase button,✅ Active,Unlock for %@,以 %@ 解锁,以 %@ 解鎖,%@でロック解除,%@으로 잠금 해제,Déverrouiller pour %@,Desbloquear por %@,Sblocca per %@,Desbloquear por %@,Ontgrendel voor %@,Freischalten für %@,Unlock for %@,Ξεκλείδωμα για %@,ปลดล็อกในราคา %@,Mở khóa với giá %@,Buka kunci dengan %@,Buka kunci seharga %@,Otključaj za %@
Version %@,a11y label,✅ Active,Version %@,版本 %1$@,版本 %1$@,バージョン %1$@,버전 %1$@,Version %1$@,Versión %1$@,Versione %1$@,Versão %1$@,Versie %1$@,Version %1$@,Version %1$@,Έκδοση %1$@,เวอร์ชัน %1$@,Phiên bản %1$@,Versi %1$@,Versi %1$@,Verzija %1$@
Water Temperature: %.1f degrees Celsius,a11y,✅ Active,Water Temperature: %.1f degrees Celsius,水温：%.1f 摄氏度,水溫：%.1f 攝氏度,水温：%.1f ℃,수온: %.1f도,Température de l'eau : %.1f degrés Celsius,Temperatura del agua: %.1f grados Celsius,Temperatura dell'acqua: %.1f gradi Celsius,Temperatura da água: %.1f graus Celsius,Watertemperatuur: %.1f graden Celsius,Wassertemperatur: %.1f Grad Celsius,Water Temperature: %.1f degrees Celsius,Θερμοκρασία νερού: %.1f βαθμοί Κελσίου,อุณหภูมิน้ำ: %.1f องศาเซลเซียส,Nhiệt độ nước: %.1f độ C,Suhu Air: %.1f darjah Celsius,Suhu Air: %.1f derajat Celsius,Temperatura vode: %.1f Celzijevih stupnjeva
About,Settings section header,✅ Active,About,关于,關於,情報,정보,À propos,Acerca de,Info,Sobre,Over,Über,About,Σχετικά,เกี่ยวกับ,Giới thiệu,Mengenai,Tentang,O aplikaciji
Active,Status label,✅ Active,Active,已启用,已啟用,有効,활성,Actif,Activo,Attivo,Ativo,Actief,Aktiv,Active,Ενεργό,เปิดใช้งาน,Hoạt động,Aktif,Aktif,Aktivno
Add New Dive,Accessibility label,✅ Active,Add New Dive,新增潜水,新增潛水,新しいダイビングを追加,새 다이빙 추가,Ajouter une plongée,Añadir inmersión,Aggiungi immersione,Adicionar mergulho,Voeg duik toe,Tauchgang hinzufügen,Add New Dive,Προσθήκη κατάδυσης,เพิ่มไดฟ์ใหม่,Thêm lặn mới,Tambah Selam Baru,Tambah Penyelaman Baru,Dodaj novi uron
Air,Gas mix: air,✅ Active,Air,空气,空氣,空気,공기,Air,Aire,Aria,Ar,Lucht,Luft,Air,Αέρας,อากาศ,Không khí,Udara,Udara,Zrak
Altitude,Dive environment type,✅ Active,Altitude,高海拔,高海拔,高地,고도,Altitude,Altitud,Altitudine,Altitude,Altitude,Höhe,Altitude,Υψόμετρο,ความสูง,Altitude,Altitud,Ketinggian,Nadmorska visina
App Language,Settings row label,✅ Active,App Language,App 语言,App 語言,Appの言語,앱 언어,Langue de l'app,Idioma de la app,Lingua dell'app,Idioma da app,App-taal,App-Sprache,App Language,Γλώσσα εφαρμογής,ภาษาแอป,Ngôn ngữ ứng dụng,Bahasa Aplikasi,Bahasa Aplikasi,Jezik aplikacije
Auto-detects format from file content,Import subtitle,✅ Active,Auto-detects format from file content,自动从文件内容检测格式,自動從檔案內容偵測格式,ファイル内容から形式を自動検出,파일 내용에서 형식 자동 감지,Détection automatique du format,Detecta formato del contenido,Rileva formato dal contenuto,Deteta o formato pelo conteúdo,Formaat automatisch detecteren,Format automatisch erkennen,Auto-detects format from file content,Αυτόματη ανίχνευση μορφής,ตรวจพบรูปแบบอัตโนมัติ,Tự động phát hiện định dạng,Kesan format secara automatik,Deteksi otomatis format file,Automatski detektira format
Buddy,Dive detail field,✅ Active,Buddy,潜伴,潛伴,バディ,버디,Binôme,Compañero,Compagno,Dupla,Buddy,Buddy,Buddy,Ζευγάρι,คู่ดำน้ำ,Bạn lặn,Buddy,Buddy,Ronilački partner
Buddy Name (optional),TextField placeholder,✅ Active,Buddy Name (optional),潜伴姓名（可选）,潛伴姓名（可選）,バディ名（任意）,버디 이름 (선택),Nom du binôme (facultatif),Nombre del compañero (opcional),Nome compagno (opzionale),Nome da dupla (opcional),Naam buddy (optioneel),Name des Buddys (optional),Buddy Name (optional),Όνομα ζευγαριού (προαιρετικό),ชื่อคู่ดำน้ำ (ไม่บังคับ),Tên bạn lặn (tùy chọn),Nama Buddy (pilihan),Nama Buddy (opsional),Ime partnera (opcionalno)
Cancel,Cancel button,✅ Active,Cancel,取消,取消,キャンセル,취소,Annuler,Cancelar,Annulla,Cancelar,Annuleer,Abbrechen,Cancel,Ακύρωση,ยกเลิก,Hủy,Batal,Batal,Odustani
Close,Dismiss button,✅ Active,Close,关闭,關閉,閉じる,닫기,Fermer,Cerrar,Chiudi,Fechar,Sluit,Schließen,Close,Κλείσιμο,ปิด,Đóng,Tutup,Tutup,Zatvori
Coordinates,Dive detail field,✅ Active,Coordinates,坐标,座標,座標,좌표,Coordonnées,Coordenadas,Coordinate,Coordenadas,Coördinaten,Koordinaten,Coordinates,Συντεταγμένες,พิกัด,Tọa độ,Koordinat,Koordinat,Koordinate
CSV (.csv),Export format button,✅ Active,CSV (.csv),CSV 格式 (.csv),CSV 格式 (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv),CSV (.csv)
Date & Time,DatePicker label,✅ Active,Date & Time,日期与时间,日期與時間,日時,날짜 및 시간,Date et heure,Fecha y hora,Data e ora,Data e hora,Datum en tijd,Datum & Uhrzeit,Date & Time,Ημερομηνία & Ώρα,วันที่และเวลา,Ngày & Giờ,Tarikh & Masa,Tanggal & Waktu,Datum i vrijeme
Dive Data,Section header,✅ Active,Dive Data,潜水数据,潛水數據,ダイビングデータ,다이빙 데이터,Données de plongée,Datos de la inmersión,Dati immersione,Dados de mergulho,Duikgegevens,Tauchdaten,Dive Data,Δεδομένα κατάδυσης,ข้อมูลไดฟ์,Dữ liệu lặn,Data Selam,Data Penyelaman,Podaci o uronu
Dive Details,Nav title,✅ Active,Dive Details,潜水详情,潛水詳細資料,ダイビングの詳細,다이빙 상세 정보,Détails de la plongée,Detalles de la inmersión,Dettagli immersione,Detalhes do mergulho,Duikdetails,Tauchdetails,Dive Details,Λεπτομέρειες κατάδυσης,รายละเอียดไดฟ์,Chi tiết chuyến lặn,Butiran Selam,Detail Penyelaman,Detalji urona
Dive Info,Section header,✅ Active,Dive Info,潜水信息,潛水資訊,ダイビング情報,다이빙 정보,Infos de plongée,Información de inmersión,Info immersione,Informações do mergulho,Duikinfo,Tauchinfos,Dive Info,Πληροφορίες κατάδυσης,ข้อมูลทั่วไป,Thông tin chuyến lặn,Maklumat Selam,Informasi Penyelaman,Informacije o uronu
Dive Logbook,Nav title,✅ Active,Dive Logbook,潜水日志,潛水日誌,ダイビングログ,다이빙 로그북,Carnet de plongée,Diario de inmersiones,Giornale di immersione,Diário de mergulhos,Duiklogboek,Taucherlogbuch,Dive Logbook,Ημερολόγιο καταδύσεων,สมุดบันทึกการดำน้ำ,Nhật ký lặn,Log selam,Logbook Penyelaman,Ronilački logbook
Dive Site,TextField placeholder,✅ Active,Dive Site,潜水地点,潛水地點,ダイビングポイント,다이빙 사이트,Site de plongée,Punto de inmersión,Punto di immersione,Local de mergulho,Duiklocatie,Tauchplatz,Dive Site,Τοποθεσία κατάδυσης,จุดดำน้ำ,Địa điểm lặn,Tapak Selam,Lokasi Penyelaman,Lokacija urona
Dive site map will be available in a future update.,Map placeholder,✅ Active,Dive site map will be available in a future update.,潜点地图将在后续版本中提供。,潛點地圖將在後續版本中提供。,ダイビングポイントのマップは今後のアップデートで利用可能になります。,다이빙 사이트 지도는 향후 업데이트에서 지원될 예정입니다.,La carte des sites sera disponible dans une prochaine mise à jour.,El mapa de puntos de inmersión estará disponible en una próxima actualización.,La mappa dei punti di immersione sarà disponibile in un prossimo aggiornamento.,O mapa dos locais de mergulho estará disponível numa atualização futura.,De duiklocatiekaart komt beschikbaar in een toekomstige update.,Die Karte der Tauchplätze wird in einem zukünftigen Update verfügbar sein.,The dive site map will be available in a future update.,Ο χάρτης τοποθεσιών κατάδυσης θα είναι διαθέσιμος σε μελλοντική ενημέρωση.,แผนที่จุดดำน้ำจะพร้อมใช้งานในการอัปเดตในอนาคต.,Bản đồ địa điểm lặn sẽ khả dụng trong bản cập nhật tương lai.,Peta tapak selam akan tersedia dalam kemas kini masa hadapan.,Peta lokasi penyelaman akan tersedia dalam pembaruan mendatang.,Karta lokacija urona bit će dostupna u budućem ažuriranju.
Dives with GPS coordinates will appear on this map.,Map empty state,✅ Active,Dives with GPS coordinates will appear on this map.,含 GPS 坐标的潜水记录将显示在地图上。,含 GPS 座標的潛水記錄將顯示在地圖上。,GPS座標を持つダイビングがこのマップに表示されます。,GPS 좌표가 있는 다이빙이 이 지도에 표시됩니다.,Les plongées avec coordonnées GPS apparaîtront sur cette carte.,Las inmersiones con coordenadas GPS aparecerán en este mapa.,Le immersioni con coordinate GPS appariranno su questa mappa.,Os mergulhos com coordenadas GPS aparecerão neste mapa.,Duiken met GPS-coördinaten verschijnen op deze kaart.,Tauchgänge mit GPS-Koordinaten werden auf dieser Karte angezeigt.,Dives with GPS coordinates will appear on this map.,Οι καταδύσεις με συντεταγμένες GPS θα εμφανίζονται σε αυτόν τον χάρτη.,ไดฟ์ที่มีพิกัด GPS จะแสดงบนแผนที่นี้.,Chuyến lặn có tọa độ GPS sẽ xuất hiện trên bản đồ này.,Selam dengan koordinat GPS akan muncul pada peta ini.,Penyelaman dengan koordinat GPS akan muncul di peta ini.,Uroni s GPS koordinatama prikazat će se na ovoj karti.
Done,Button label,✅ Active,Done,完成,完成,完了,완료,Terminé,Hecho,Fine,Concluído,Gereed,Fertig,Done,Τέλος,เสร็จสิ้น,Xong,Selesai,Selesai,Gotovo
Duration,Dive detail field,✅ Active,Duration,时长,時長,潜水時間,지속 시간,Durée,Duración,Durata,Duração,Duur,Dauer,Duration,Διάρκεια,ระยะเวลา,Thời gian lặn,Tempoh,Durasi,Trajanje
Edit,Edit button,✅ Active,Edit,编辑,編輯,編集,편집,Modifier,Editar,Modifica,Editar,Wijzig,Bearbeiten,Edit,Επεξεργασία,แก้ไข,Sửa,Edit,Edit,Uredi
Edit Dive,Sheet title,✅ Active,Edit Dive,编辑潜水,編輯潛水,ダイビングを編集,다이빙 편집,Modifier la plongée,Editar inmersión,Modifica immersione,Editar mergulho,Wijzig duik,Tauchgang bearbeiten,Edit Dive,Επεξεργασία κατάδυσης,แก้ไขไดฟ์,Sửa chuyến lặn,Edit Selam,Edit Penyelaman,Uredi uron
Enjoy an uninterrupted dive log experience.,Feature subtitle,✅ Active,Enjoy an uninterrupted dive log experience.,享受不受干扰的潜水日志体验。,享受不受干擾的潛水日誌體驗。,途切れることのないダイビングログ体験をお楽しみください。,중단 없는 다이빙 로그북을 경험해 보세요.,Profitez d'un carnet de plongée sans interruption.,Disfruta de un diario de inmersiones sin interrupciones.,Goditi un giornale di immersione senza interruzioni.,Desfrute de um diário de mergulhos sem interrupções.,Geniet van een ononderbroken duiklogboekervaring.,Genießen Sie ein ungestörtes Taucherlogbuch-Erlebnis.,Enjoy an uninterrupted dive log experience.,Απολαύστε μια αδιάλειπτη εμπειρία ημερολογίου καταδύσεων.,เพลิดเพลินกับประสบการณ์บันทึกการดำน้ำแบบไม่สะดุด.,Tận hưởng trải nghiệm nhật ký lặn không bị gián đoạn.,Nikmati pengalaman log selam tanpa gangguan.,Nikmati pengalaman logbook penyelaman tanpa gangguan.,Uživajte u neprekinutom ronilačkom logbooku.
Environment,Section/field label,✅ Active,Environment,环境,環境,環境,환경,Environnement,Entorno,Ambiente,Ambiente,Omgeving,Umgebung,Environment,Περιβάλλον,สภาพแวดล้อม,Môi trường lặn,Persekitaran,Lingkungan,Okolina
Export All Dives,Button label,✅ Active,Export All Dives,导出所有潜水记录,匯出所有潛水記錄,すべてのダイビングを書き出す,모든 다이빙 내보내기,Exporter toutes les plongées,Exportar todas las inmersiones,Esporta tutte le immersioni,Exportar todos os mergulhos,Exporteer alle duiken,Alle Tauchgänge exportieren,Export All Dives,Εξαγωγή όλων των καταδύσεων,ส่งออกทุกไดฟ์,Xuất tất cả chuyến lặn,Eksport Semua Selam,Ekspor Semua Penyelaman,Izvezi sve urone
Export All Dives — Premium Required,a11y label,✅ Active,Export All Dives — Premium Required,导出所有潜水记录 — 需要专业版,匯出所有潛水記錄 — 需要進階版,すべてのダイビングを書き出す — プレミアムが必要です,모든 다이빙 내보내기 — 프리미엄 필요,Exporter toutes les plongées — Premium requis,Exportar todas las inmersiones — Premium requerido,Esporta tutte le immersioni — Richiede Premium,Exportar todos os mergulhos — Premium necessário,Exporteer alle duiken — Premium vereist,Alle Tauchgänge exportieren — Premium erforderlich,Export All Dives — Premium Required,Εξαγωγή όλων των καταδύσεων — Απαιτείται Premium,ส่งออกทุกไดฟ์ — ต้องใช้พรีเมียม,Xuất tất cả chuyến lặn — Yêu cầu Premium,Eksport Semua Selam — Premium Diperlukan,Ekspor Semua Penyelaman — Premium Diperlukan,Izvezi sve urone — Potreban Premium
Export Dive,a11y label,✅ Active,Export Dive,导出此潜水记录,匯出此潛水記錄,このダイビングを書き出す,이 다이빙 내보내기,Exporter la plongée,Exportar inmersión,Esporta immersione,Exportar mergulho,Exporteer duik,Tauchgang exportieren,Export Dive,Εξαγωγή κατάδυσης,ส่งออกไดฟ์นี้,Xuất chuyến lặn,Eksport Selam,Ekspor Penyelaman,Izvezi uron
Export Dive — Premium Required,a11y label,✅ Active,Export Dive — Premium Required,导出此潜水记录 — 需要专业版,匯出此潛水記錄 — 需要進階版,このダイビングを書き出す — プレミアムが必要です,이 다이빙 내보내기 — 프리미엄 필요,Exporter la plongée — Premium requis,Exportar inmersión — Premium requerido,Esporta immersione — Richiede Premium,Exportar mergulho — Premium necessário,Exporteer duik — Premium vereist,Tauchgang exportieren — Premium erforderlich,Export Dive — Premium Required,Εξαγωγή κατάδυσης — Απαιτείται Premium,ส่งออกไดฟ์นี้ — ต้องใช้พรีเมียม,Xuất chuyến lặn — Yêu cầu Premium,Eksport Selam — Premium Diperlukan,Ekspor Penyelaman — Premium Diperlukan,Izvezi uron — Potreban Premium
Export Dive Logs,Feature row title,✅ Active,Export Dive Logs,导出潜水日志,匯出潛水日誌,ダイビングログを書き出す,다이빙 로그북 내보내기,Exporter les carnets,Exportar diarios de inmersión,Esporta giornali di immersione,Exportar diários de mergulhos,Exporteer duiklogboeken,Taucherlogbücher exportieren,Export Dive Logs,Εξαγωγή ημερολογίων κατάδυσης,ส่งออกสมุดบันทึกการดำน้ำ,Xuất nhật ký lặn,Eksport Log Selam,Ekspor Logbook Penyelaman,Izvezi ronilačke logbooke
Export Format,Dialog title,✅ Active,Export Format,导出格式,匯出格式,書き出し形式,내보내기 형식,Format d'export,Format de exportación,Formato di esportazione,Formato de exportação,Exportformaat,Exportformat,Export Format,Μορφή εξαγωγής,รูปแบบการส่งออก,Định dạng xuất,Format Eksport,Format Ekspor,Format izvoza
Export your dives as UDDF or CSV anytime.,Feature subtitle,✅ Active,Export your dives as UDDF or CSV anytime.,随时将潜水记录导出为 UDDF 或 CSV。,隨時將潛水記錄匯出為 UDDF 或 CSV。,ダイビングをいつでもUDDFまたはCSVとして書き出せます。,언제든지 다이빙을 UDDF 또는 CSV로 내보내세요.,Exportez vos plongées en UDDF ou CSV à tout moment.,Exporta tus inmersiones como UDDF o CSV cuando quieras.,Esporta le tue immersioni in UDDF o CSV quando vuoi.,Exporte os seus mergulhos em UDDF ou CSV a qualquer momento.,Exporteer je duiken altijd als UDDF of CSV.,Exportieren Sie Ihre Tauchgänge jederzeit als UDDF oder CSV.,Export your dives as UDDF or CSV anytime.,Εξαγάγετε τις καταδύσεις σας ως UDDF ή CSV ανά πάσα στιγμή.,ส่งออกไดฟ์ของคุณเป็น UDDF หรือ CSV ได้ทุกเมื่อ,Xuất các chuyến lặn dưới dạng UDDF hoặc CSV bất cứ lúc nào.,Eksport selam anda sebagai UDDF atau CSV pada bila-bila masa.,Ekspor penyelaman Anda sebagai UDDF atau CSV kapan saja.,Izvezite svoje urone kao UDDF ili CSV bilo kada.
Freshwater,Dive environment type,✅ Active,Freshwater,淡水,淡水,淡水,담수,Eau douce,Agua dulce,Acqua dolce,Água doce,Zoet water,Süßwasser,Freshwater,Γλυκό νερό,น้ำจืด,Nước ngọt,Air Tawar,Air Tawar,Slatka voda
Gas,Dive detail field,✅ Active,Gas,气体,氣體,ガス,기체,Gaz,Gas,Gas,Gás,Gas,Gas,Gas,Αέριο,แก๊ส,Khí lặn,Gas,Gas,Plin
Gas Mix,Section header,✅ Active,Gas Mix,气体混合,氣體混合,混合ガス,기체 믹스,Mélange de gaz,Mezcla de gases,Miscela gas,Mistura de gases,Gasmengsel,Gasgemisch,Gas Mix,Μείγμα αερίου,แก๊สผสม,Khí trộn,Campuran Gas,Campuran Gas,Mješavina plina
Import,Tab bar label,✅ Active,Import,导入,匯入,取り込み,가져오기,Importer,Importar,Importa,Importar,Importeer,Import,Import,Εισαγωγή,นำเข้า,Nhập dữ liệu,Import,Impor,Uvoz
Import Dives,Nav title,✅ Active,Import Dives,导入潜水记录,匯入潛水記錄,ダイビングを読み込む,다이빙 가져오기,Importer des plongées,Importar inmersiones,Importa immersioni,Importar mergulhos,Importeer duiken,Tauchgänge importieren,Import Dives,Εισαγωγή καταδύσεων,นำเข้าไดฟ์,Nhập chuyến lặn,Import Selam,Impor Penyelaman,Uvezi urone
Import Failed,Result title,✅ Active,Import Failed,导入失败,匯入失敗,読み込み失敗,가져오기 실패,Échec de l'import,Error al importar,Importazione fallita,Falha na importação,Importen mislukt,Import fehlgeschlagen,Import Failed,Αποτυχία εισαγωγής,นำเข้าล้มเหลว,Nhập thất bại,Import Gagal,Impor Gagal,Uvoz nije uspio
Import Successful,Result title,✅ Active,Import Successful,导入成功,匯入成功,読み込み成功,가져오기 성공,Import réussi,Importación exitosa,Importazione completata,Importação com sucesso,Import geslaagd,Import erfolgreich,Import Successful,Επιτυχής εισαγωγή,นำเข้าสำเร็จ,Nhập thành công,Import Berjaya,Impor Berhasil,Uvoz uspješan
Importing…,Progress label,✅ Active,Importing…,导入中…,匯入中…,読み込み中…,가져오는 중…,Importation…,Importando…,Importazione in corso…,Importando…,Importeren…,Importieren…,Importing…,Εισαγωγή…,กำลังนำเข้า…,Đang nhập…,Importing…,Sedang mengimpor…,Uvoženje…
iOS Settings,Settings row label,✅ Active,iOS Settings,iOS 设置,iOS 設定,iOSの設定,iOS 설정,Réglages iOS,Ajustes de iOS,Impostazioni iOS,Definições do iOS,iOS-instellingen,iOS-Einstellungen,iOS Settings,Ρυθμίσεις iOS,การตั้งค่า iOS,Cài đặt iOS,Tetapan iOS,Pengaturan iOS,iOS postavke
JD2 Logbook Premium,Sheet title,✅ Active,JD2 Logbook Premium,JD2 潜水日志专业版,JD2 潛水日誌進階版,JD2 Logbook プレミアム,JD2 Logbook 프리미엄,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium
